symbol,timestamp,price_open,price_high,price_low,price_close,volume_traded,trades_count,is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday,is_winter,is_spring,is_summer,is_autumn
BINANCEFTS_PERP_BCH_USDT,2020-07-10 00:00:00+00:00,238.14,240.4,232.36,238.54,185577.19299999997,67123.0,False,False,False,False,True,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-11 00:00:00+00:00,238.58,239.58,234.68,236.7,107004.62700000001,35390.0,False,False,False,False,False,True,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-12 00:00:00+00:00,236.71,239.5,231.83,237.55,173700.19100000002,47722.0,False,False,False,False,False,False,True,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-13 00:00:00+00:00,237.57,238.0,223.52,232.2,244672.21099999998,63838.0,True,False,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-14 00:00:00+00:00,232.16,232.16,226.51,230.38,156934.43899999998,48188.0,False,True,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-15 00:00:00+00:00,230.37,230.98,225.93,227.65,129008.64300000001,39282.0,False,False,True,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-16 00:00:00+00:00,227.65,228.3,216.6,224.38,237952.96300000002,60930.0,False,False,False,True,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-17 00:00:00+00:00,224.34,226.15,221.97,222.8,99799.30099999998,34655.0,False,False,False,False,True,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-18 00:00:00+00:00,222.75,226.75,222.31,224.52,110913.513,30577.0,False,False,False,False,False,True,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-19 00:00:00+00:00,224.48,228.99,220.11,227.94,165814.85599999997,41094.0,False,False,False,False,False,False,True,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-20 00:00:00+00:00,227.96,228.63,220.77,222.79,139328.95599999998,36320.0,True,False,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-21 00:00:00+00:00,222.79,232.79,222.17,230.48,194489.02799999996,48627.0,False,True,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-22 00:00:00+00:00,230.47,241.96,227.45,240.13,251291.99599999998,55962.0,False,False,True,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-23 00:00:00+00:00,240.13,245.42,234.96,238.6,235104.251,61316.0,False,False,False,True,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-24 00:00:00+00:00,238.57,239.22,232.56,235.26,174118.701,54182.0,False,False,False,False,True,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-25 00:00:00+00:00,235.26,254.26,235.01,251.46,421563.843,95722.0,False,False,False,False,False,True,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-26 00:00:00+00:00,251.47,259.12,244.07,247.79,439417.80500000005,102404.0,False,False,False,False,False,False,True,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-27 00:00:00+00:00,247.79,276.2,247.58,269.09,888598.8409999998,221435.0,True,False,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-28 00:00:00+00:00,269.06,298.1,265.11,289.32,1121235.499,247322.0,False,True,False,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-29 00:00:00+00:00,289.31,295.0,285.53,288.22,489910.981,131868.0,False,False,True,False,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-30 00:00:00+00:00,288.21,301.27,281.0,291.75,534638.068,134177.0,False,False,False,True,False,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-07-31 00:00:00+00:00,291.75,307.0,287.3,300.88,464872.79000000004,127480.0,False,False,False,False,True,False,False,False,False,True,False
BINANCEFTS_PERP_BCH_USDT,2020-08-01 00:00:00+00:00,300.88,322.12,298.34,319.67,675093.9,164009.0,False,False,False,False,False,True,False,False,False,True,False
